ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images
,simple,SQ-CLO-001,Classic Cotton Tee,1,1,visible,"Everyday essential. 100% ring-spun cotton, pre-shrunk, relaxed fit.","Our most popular piece. Crafted from heavyweight 180gsm ring-spun cotton with a clean, unbranded finish. Available in natural, slate, and terracotta. Pre-washed for softness right out of the bag.",taxable,,1,50,29.00,22.00,Clothing,tee > essential > cotton,https://picsum.photos/seed/cotton-tee/800/800
,simple,SQ-CLO-002,Heavyweight Hoodie,1,0,visible,"Structured warmth. Brushed fleece interior, kangaroo pocket, ribbed cuffs.","Built for layering season. 380gsm fleece with a structured hood and flat-lock stitching throughout. Washes well and holds its shape.",taxable,,1,30,65.00,,Clothing,hoodie > fleece > layering,https://picsum.photos/seed/hoodie-grey/800/800
,simple,SQ-CLO-003,Linen Camp Shirt,1,0,visible,"Breathable, relaxed, effortless. 100% European linen, button front.","A summer wardrobe staple. Stonewashed European linen with a camp collar and single chest pocket. Gets better with every wash.",taxable,,1,20,52.00,,Clothing,shirt > linen > summer,https://picsum.photos/seed/linen-shirt/800/800
,simple,SQ-ACC-001,Canvas Market Tote,1,1,visible,"Heavy-duty canvas. Reinforced base, 12-inch drop handles, inside zip pocket.","The bag you reach for every day. 16oz waxed canvas with vegetable-tanned leather strap reinforcements and solid brass hardware. Holds a weekend's worth of groceries.",taxable,,1,40,34.00,,Accessories,tote > canvas > everyday,https://picsum.photos/seed/canvas-tote/800/800
,simple,SQ-ACC-002,Slim Leather Wallet,1,0,visible,"6-card capacity. Full-grain leather, no-fuss design, slim profile.","Holds what you need and nothing you don't. Saddle-stitched full-grain leather with a natural pull-up finish that develops a patina over time.",taxable,,1,35,44.00,,Accessories,wallet > leather > slim,https://picsum.photos/seed/leather-wallet/800/800
,simple,SQ-ACC-003,Woven Seagrass Basket,1,0,visible,"Hand-woven seagrass with cotton rope handles. Storage that looks good out.","Handmade by artisans in Morocco. Each basket is slightly unique. Use it for everything — throws, magazines, farmers market trips.",taxable,,1,15,48.00,,Accessories,basket > storage > handmade,https://picsum.photos/seed/woven-basket/800/800
,simple,SQ-HOM-001,Ceramic Pour-Over Set,1,1,visible,"Hand-thrown ceramic dripper and carafe. Makes two cups at once.","Hand-thrown on the wheel, high-fire glazed, food safe. Pairs with any standard #4 filter. Carafe holds 500ml. Dishwasher safe but more fun to hand wash.",taxable,,1,18,48.00,38.00,Home & Kitchen,coffee > ceramic > pour-over,https://picsum.photos/seed/ceramic-pourover/800/800
,simple,SQ-HOM-002,Beeswax Candle Trio,1,0,visible,"Pure beeswax pillars. Clean burn, natural honey scent, no additives.","Made from 100% domestic beeswax. Burns at a higher temperature than paraffin, producing negative ions that clear the air. Set of three: 2-inch, 3-inch, and 4-inch pillars.",taxable,,1,25,32.00,24.00,Home & Kitchen,candle > beeswax > home,https://picsum.photos/seed/beeswax-candle/800/800
,simple,SQ-HOM-003,Linen Tea Towel Set,1,0,visible,"Set of three. Pre-washed Belgian linen. Gets more absorbent with every wash.","A kitchen essential. Each towel is 50×70cm, hemstitched at the edges, with a loop for hanging. The natural linen weave gets softer and more absorbent over time.",taxable,,1,30,26.00,,Home & Kitchen,kitchen > linen > towel,https://picsum.photos/seed/linen-towels/800/800
,simple,SQ-STA-001,Hardcover Journal,1,0,visible,"A5 format. Lay-flat binding, 160 pages, fountain pen friendly paper.","Smyth-sewn binding opens completely flat without cracking the spine. 100gsm acid-free paper takes fountain pen ink without bleed-through. Bookmark ribbon included.",taxable,,1,45,22.00,,Stationery,journal > notebook > writing,https://picsum.photos/seed/hardcover-journal/800/800
,simple,SQ-STA-002,Brass Rollerball Pen,1,0,visible,"Solid brass body with matte finish. Replaceable rollerball refill.","Gets better as it ages. The raw brass develops a natural patina with use. Includes one black rollerball refill compatible with standard Cross-style cartridges.",taxable,,1,40,28.00,,Stationery,pen > brass > writing,https://picsum.photos/seed/brass-pen/800/800
,simple,SQ-STA-003,Wax Seal Stamp Kit,1,0,visible,"Classic S monogram stamp, sealing wax sticks in four colors, brass ladle.","Everything you need to seal envelopes, wrap gifts, or emboss your correspondence. Comes in a fitted cloth bag with the stamp, ladle, and four wax sticks in cream, forest, terracotta, and charcoal.",taxable,,1,20,34.00,,Stationery,wax > seal > stationery,https://picsum.photos/seed/wax-seal/800/800
